2022-05-19 10:05:69 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:832 INFO  HomePage :32 - Sending Username to user filed : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //input[@id='user-name']]
2022-05-19 10:05:902 INFO  HomePage :37 - Sending Password to Password filed : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //input[@id='password']]
2022-05-19 10:05:23 INFO  HomePage :42 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //input[@id='login-button']]
2022-05-19 10:05:131 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 10:05:182 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 10:05:236 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 10:05:297 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 10:05:352 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //button[@id='checkout']]
2022-05-19 10:05:440 INFO  CheckOutPage :48 - Sending first name : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //input[@id='first-name']]
2022-05-19 10:05:519 INFO  CheckOutPage :53 - Sending Last name : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //input[@id='last-name']]
2022-05-19 10:05:581 INFO  CheckOutPage :58 - Sending Postcode : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //input[@id='postal-code']]
2022-05-19 10:05:644 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //input[@id='continue']]
2022-05-19 10:05:697 INFO  CheckOutPage :68 - Clicking on Finish Button : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //button[@id='finish']]
2022-05-19 10:05:714 INFO  CheckOutPage :72 - Getting Confirm Message : [[ChromeDriver: chrome on WINDOWS (cb09abc5513c39197ae3c6d56dfb42af)] -> xpath: //h2[@class='complete-header']]
2022-05-19 10:05:424 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 10:05:237 INFO  HomePage :32 - Sending Username to user filed : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //input[@id='user-name']]
2022-05-19 10:05:308 INFO  HomePage :37 - Sending Password to Password filed : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //input[@id='password']]
2022-05-19 10:05:418 INFO  HomePage :42 - Clicking on Login Button : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //input[@id='login-button']]
2022-05-19 10:05:578 INFO  ProductPage :33 - Selecting by : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 10:05:700 INFO  ProductPage :43 - Selecting Cheapest Product : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //div[@class='inventory_list']/div[6]/div/div/button]
2022-05-19 10:05:745 INFO  ProductPage :38 - Selecting Costlier Product : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //div[@class='inventory_list']/div[1]/div/div/button]
2022-05-19 10:05:805 INFO  ProductPage :48 - Clicking On Shopping Cart Button  : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //a[@class='shopping_cart_link']]
2022-05-19 10:05:868 INFO  CheckOutPage :42 - Clicking on Checkout button : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //button[@id='checkout']]
2022-05-19 10:05:963 INFO  CheckOutPage :48 - Sending first name : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //input[@id='first-name']]
2022-05-19 10:05:30 INFO  CheckOutPage :53 - Sending Last name : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //input[@id='last-name']]
2022-05-19 10:05:90 INFO  CheckOutPage :58 - Sending Postcode : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //input[@id='postal-code']]
2022-05-19 10:05:147 INFO  CheckOutPage :63 - Clicking on Continue Button : [[ChromeDriver: chrome on WINDOWS (0c95a88649ef9635ae9558f71f9ca9e8)] -> xpath: //input[@id='continue']]
